City,Population,County,State,FullState,MSA,,
Stamford,129113,Fairfield County,CT,Connecticut,"Bridgeport-Stamford-Norwalk, CT",,
Thousand Oaks,128888,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",,
Concord,128726,Contra Costa County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",,
Elizabeth,128640,Union County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",,
Lafayette,127626,Lafayette Parish,LA,Louisiana,"Lafayette, LA",,
Kent,127514,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",,
Topeka,126808,Shawnee County,KS,Kansas,"Topeka, KS",,
Simi Valley,126327,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",,
Santa Clara,125948,Santa Clara County,CA,California,"San Jose-Sunnyvale-Santa Clara, CA",,
Athens-Clarke County,123371,Clarke County,GA,Georgia,"Athens-Clarke County, GA",,
Hartford,123243,Hartford County,CT,Connecticut,"Hartford-West Hartford-East Hartford, CT",,
Victorville,122265,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
Abilene,122225,Taylor County,TX,Texas,"Abilene, TX",,
Norman,122180,Cleveland County,OK,Oklahoma,"Oklahoma City, OK",,
Vallejo,121299,Solano County,CA,California,"Vallejo-Fairfield, CA",,
Berkeley,121240,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",,
Round Rock,120892,Williamson County,TX,Texas,"Austin-Round Rock, TX",,
Ann Arbor,120782,Washtenaw County,MI,Michigan,"Ann Arbor, MI",,
Fargo,120762,Cass County,ND,North Dakota,"Fargo, ND-MN",,
Columbia,120612,Boone County,MO,Missouri,"Columbia, MO",,
Allentown,120443,Lehigh County,PA,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",,
Evansville,119477,Vanderburgh County,IN,Indiana,"Evansville, IN-KY",,
Beaumont,118299,Jefferson County,TX,Texas,"Beaumont-Port Arthur, TX",,
Odessa,117871,Ector County,TX,Texas,"Odessa, TX",,
Wilmington,117525,New Hanover County,NC,North Carolina,"Wilmington, NC",,
Arvada,117453,Jefferson County,CO,Colorado,"Denver-Aurora-Lakewood, CO",,
Independence,117030,Jackson County,MO,Missouri,"Kansas City, MO-KS",,
Provo,116868,Utah County,UT,Utah,"Provo-Orem, UT",,
Lansing,116020,Ingham County,MI,Michigan,"Lansing-East Lansing, MI",,
El Monte,115807,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Springfield,115715,Sangamon County,IL,Illinois,"Springfield, IL",,
Fairfield,114756,Solano County,CA,California,"Vallejo-Fairfield, CA",,
